Beam,PackingX,PackingY,GroundCenterRadiusDeg,GroundAzimuthDeg,CenterOffNadirDeg,RequiredAngularHalfWidthDeg,MaximumEdgeOffNadirDeg
1,-0.499999995906527,-0.866025406147806,0.444914126439207,-119.999999729178,8.28324876359124,8.28274390325655,16.2070227311397
2,0.500000004093473,0.866025401421071,0.444914126439207,59.999999729178,8.28324876359129,8.28274390325659,16.2070227311397
3,-1.49999999590653,0.866025401421071,0.770613869894838,150,14.1371437495165,8.10620296064991,21.6166346456484
4,1.50000000409347,-0.866025406147806,0.770613874100821,-30,14.1371438233273,8.10620295785701,21.6166347129686
5,-0.499999995906527,2.59807620898995,1.17713213196096,100.893394571753,20.999717386447,7.7845378456539,27.7906774000455
6,-2.49999999590653,-0.866025406147806,1.17713213196096,-160.893394571753,20.999717386447,7.7845378456539,27.7906774000455
7,0.500000004093473,-2.59807621371668,1.17713213471442,-79.1066052734914,20.9997174309257,7.78453784316912,27.7906774395537
8,2.50000000409347,0.866025401421071,1.17713213471442,19.1066052734914,20.9997174309257,7.78453784316912,27.7906774395537
9,-1.49999999590653,-2.59807621371668,1.33474237931762,-119.999999909726,23.4972805979338,7.6374636945487,29.9999984066674
10,1.50000000409347,2.59807620898995,1.33474237931762,59.999999909726,23.4972805979338,7.6374636945487,29.9999984066674
