Time,AggregateInterferenceDbm,IOverNDb,DominantSatelliteIndex,VisibleSatelliteCount,EligibleCandidateCount,CandidateSatelliteCount,EffectiveContributorCount,PracticalSelectedIOverNDb
01-Aug-2026 00:03:24,-171.698318544876,-64.2652288115403,0,26,26,26,6,-64.2652288115403
01-Aug-2026 00:03:26,-153.141223195654,-45.708133462319,0,26,26,26,6,-45.708133462319
01-Aug-2026 00:03:28,-153.257750267929,-45.8246605345938,0,26,26,26,7,-45.8246605345938
01-Aug-2026 00:03:30,-153.044492894208,-45.611403160873,0,26,26,26,7,-45.611403160873
01-Aug-2026 00:03:32,-140.197790375492,-32.7647006421571,0,26,26,26,8,-32.7647006421571
01-Aug-2026 00:03:34,-170.695912494307,-63.2628227609721,0,26,26,26,7,-63.2628227609721
01-Aug-2026 00:03:36,-158.272539597467,-50.8394498641316,0,26,26,26,9,-50.8394498641316
01-Aug-2026 00:03:38,-157.368148653745,-49.93505892041,0,26,26,26,11,-49.93505892041
01-Aug-2026 00:03:40,-170.208827782306,-62.775738048971,0,25,25,25,9,-62.775738048971
01-Aug-2026 00:03:42,-170.314376980677,-62.8812872473414,0,25,25,25,9,-62.8812872473414
01-Aug-2026 00:03:44,-170.084108583733,-62.6510188503975,0,25,25,25,10,-62.6510188503975
01-Aug-2026 00:03:46,-169.761479940979,-62.3283902076439,0,25,25,25,11,-62.3283902076439
01-Aug-2026 00:03:48,-169.634341663835,-62.2012519304995,0,25,25,25,11,-62.2012519304995
01-Aug-2026 00:03:50,-169.674136728416,-62.2410469950813,0,25,25,25,10,-62.2410469950813
01-Aug-2026 00:03:52,-157.719119525391,-50.2860297920556,0,25,25,25,11,-50.2860297920556
01-Aug-2026 00:03:54,-157.348598512111,-49.9155087787756,0,25,25,25,11,-49.9155087787756
01-Aug-2026 00:03:56,-156.885651062564,-49.4525613292289,0,25,25,25,11,-49.4525613292289
01-Aug-2026 00:03:58,-139.447041746331,-32.0139520129956,0,24,24,24,12,-32.0139520129956
01-Aug-2026 00:04:00,-133.531682303738,-26.0985925704028,0,25,25,25,11,-26.0985925704028
01-Aug-2026 00:04:02,-157.144330619093,-49.7112408857574,0,26,26,26,10,-49.7112408857574
01-Aug-2026 00:04:04,-157.670372847002,-50.2372831136665,0,26,26,26,10,-50.2372831136665
01-Aug-2026 00:04:06,-157.50769767163,-50.0746079382946,0,26,26,26,9,-50.0746079382946
