ElevationDeg,GaseousLossDb,CloudLossDb,RainLossDb,ScintillationLossDb,TotalAtmosphericLossDb
5,0.396231453057636,0.027428017292001,0.000337114861424231,0.385430044051383,0.78266025817049
6,0.330377444685047,0.02286945722199,0.000268414579392906,0.30923638951738,0.640478243963672
7,0.283367790670837,0.0196153450276075,0.000221858908862579,0.256690777438233,0.540823942047846
8,0.248135928228914,0.0171765176078522,0.000188331360329028,0.218455570143913,0.467280570204459
9,0.220755998892833,0.0152812183591715,0.000163110117254506,0.18949870242923,0.410883023548587
10,0.19887249641894,0.0137663939310963,0.000143502674854513,0.166879487521468,0.366330695916654
11,0.180986470386643,0.0125282836611686,0.000127860614489346,0.148769652439255,0.330293494584512
12,0.166098628005926,0.0114977142929173,0.000115118505840254,0.133975529946645,0.300576509124333
13,0.153517158174475,0.0106267971321698,0.000104557696716471,0.121686234838982,0.275675668830718
14,0.142747916659717,0.00988132642253998,9.56763927460001e-05,0.111332516959987,0.254526581519439
15,0.133428537214265,0.00923621837115214,8.81140243065743e-05,0.102503549217334,0.236355311072049
16,0.125287251029029,0.00867266054013034,8.16051364595395e-05,0.0948957534223466,0.220585945590555
17,0.118116240502724,0.008176267335606,7.59501809753585e-05,0.0882801787922877,0.206781279055353
18,0.111753875093744,0.00773585033410628,7.0996406988153e-05,0.0824810547313957,0.194603565772964
19,0.106072556908408,0.00734257692729753,6.66250068198156e-05,0.0773613061834716,0.183787857639431
20,0.100970212617972,0.00698938137366878,6.2742257947278e-05,0.0728125376531199,0.174123463312679
21,0.0963642162616354,0.00667054412151826,5.92732874917053e-05,0.0687479610288698,0.165440786732278
22,0.0921869694719454,0.00638138586238353,5.6157598985778e-05,0.0650973080728613,0.157601810938925
23,0.0883826346898546,0.0061180413969643,5.33458085302853e-05,0.0618031088998343,0.150493103128958
24,0.0849046850809219,0.00587729003490462,5.07972267104001e-05,0.0588179282746347,0.144020595841912
25,0.0817140424764953,0.00565642669896425,4.84780421264726e-05,0.0561022849118626,0.138105640347426
26,0.078777645025616,0.00545316277471645,4.63599395330382e-05,0.053623065310901,0.132681985142361
27,0.0760673331513195,0.0052655489939798,4.4419036395329e-05,0.0513523006946014,0.127693436501392
28,0.0735589742354039,0.00509191484356249,4.26350557668598e-05,0.0492662139806255,0.123092028276655
29,0.0712317684077208,0.00493082051046205,4.0990676653201e-05,0.0473444699463698,0.118836576368504
30,0.0690676931824443,0.00478101843835991,3.94710191435084e-05,0.0455695799616573,0.114891526899101
31,0.0670510555889545,0.00464142232513088,3.80632329167277e-05,0.0439264254880023,0.111226030871811
32,0.0651681282830749,0.00451108193365839,3.67561657928396e-05,0.0424018736916387,0.107813195101413
33,0.0634068518248409,0.00438916248284334,3.5540094810719e-05,0.0409844651226071,0.10462947151703
34,0.0617565895004759,0.00427492767583917,3.44065065498497e-05,0.0396641582348799,0.101654155962318
35,0.0602079241799368,0.00416772563808199,3.33479165331335e-05,0.0384321190807863,0.0988689742956673
36,0.0587524890366569,0.00406697719933687,3.23577198690137e-05,0.0372805471642186,0.0962577385844648
37,0.0573828257233405,0.00397216607631278,3.14300670337361e-05,0.0362025304306712,0.0938060599518202
38,0.0560922649463412,0.00388283060575697,3.05597600143299e-05,0.0351919238841899,0.0915011074976804
39,0.0548748254185956,0.00379855674975363,2.97421650406112e-05,0.0342432474774436,0.0893314049119588
