Time,AggregateInterferenceDbm,IOverNDb,DominantSatelliteIndex,VisibleSatelliteCount,EligibleCandidateCount,CandidateSatelliteCount,EffectiveContributorCount,PracticalSelectedIOverNDb
01-Aug-2026 01:07:12,-143.665845006591,-36.2327552732555,0,26,26,26,17,-34.5328162605949
01-Aug-2026 01:07:14,-143.647345659846,-36.2142559265105,0,26,26,26,17,-34.2235541357425
01-Aug-2026 01:07:16,-143.291238812768,-35.8581490794332,0,26,26,26,16,-33.7609214490675
01-Aug-2026 01:07:18,-143.188963513624,-35.7558737802885,0,26,26,26,16,-35.7558737802885
01-Aug-2026 01:07:20,-143.070499213813,-35.6374094804775,0,26,26,26,16,-35.6374094804775
01-Aug-2026 01:07:22,-143.148850571707,-35.7157608383719,0,26,26,26,16,-35.7157608383719
01-Aug-2026 01:07:24,-142.8272647847,-35.3941750513643,0,26,26,26,16,-35.3941750513643
01-Aug-2026 01:07:26,-142.466889812316,-35.0338000789807,0,26,26,26,13,-35.0338000789807
01-Aug-2026 01:07:28,-142.315347803923,-34.8822580705882,0,25,25,25,13,-34.8822580705882
01-Aug-2026 01:07:30,-142.112774797594,-34.6796850642585,0,25,25,25,13,-34.6796850642585
01-Aug-2026 01:07:32,-142.54944924196,-35.1163595086247,0,25,25,25,15,-35.1163595086247
01-Aug-2026 01:07:34,-142.255108781653,-34.8220190483177,0,25,25,25,15,-34.8220190483177
01-Aug-2026 01:07:36,-141.761716425942,-34.3286266926072,0,25,25,25,14,-34.3286266926072
01-Aug-2026 01:07:38,-141.81169966999,-34.3786099366545,0,25,25,25,15,-34.3786099366545
01-Aug-2026 01:07:40,-141.50286648928,-34.0697767559444,0,25,25,25,15,-34.0697767559444
01-Aug-2026 01:07:42,-142.0865773438,-34.6534876104648,0,25,25,25,15,-34.6534876104648
01-Aug-2026 01:07:44,-142.309030314071,-34.8759405807359,0,25,25,25,16,-34.8759405807359
01-Aug-2026 01:07:46,-142.294556441487,-34.8614667081519,0,25,25,25,16,-34.8614667081519
01-Aug-2026 01:07:48,-142.375586630146,-34.9424968968104,0,25,25,25,14,-34.9424968968104
01-Aug-2026 01:07:50,-142.438769157092,-35.0056794237572,0,25,25,25,14,-35.0056794237572
01-Aug-2026 01:07:52,-142.226665200617,-34.7935754672821,0,25,25,25,15,-34.7935754672821
01-Aug-2026 01:07:54,-142.685352838261,-35.2522631049254,0,25,25,25,15,-35.2522631049254
01-Aug-2026 01:07:56,-142.43381045134,-35.0007207180045,0,25,25,25,16,-35.0007207180045
01-Aug-2026 01:07:58,-142.262443228597,-34.8293534952622,0,25,25,25,17,-34.8293534952622
01-Aug-2026 01:08:00,-141.861124898705,-34.4280351653699,0,25,25,25,17,-34.4280351653699
01-Aug-2026 01:08:02,-141.588402290149,-34.155312556814,0,24,24,24,17,-34.155312556814
01-Aug-2026 01:08:04,-140.856727671202,-33.4236379378671,0,24,24,24,16,-33.4236379378671
01-Aug-2026 01:08:06,-140.625420897376,-33.1923311640408,0,24,24,24,15,-33.1923311640408
01-Aug-2026 01:08:08,-143.354725770653,-35.9216360373181,0,24,24,24,12,-35.9216360373181
01-Aug-2026 01:08:10,-146.373226386066,-38.9401366527304,0,24,24,24,11,-38.9401366527304
01-Aug-2026 01:08:12,-136.688034460381,-29.254944727046,0,24,24,24,13,-29.254944727046
01-Aug-2026 01:08:14,-135.677541527433,-28.2444517940982,0,24,24,24,14,-28.2444517940982
01-Aug-2026 01:08:16,-136.260377037022,-28.8272873036871,0,24,24,24,15,-28.8272873036871
01-Aug-2026 01:08:18,-137.12412574129,-29.6910360079553,0,24,24,24,15,-29.6910360079553
01-Aug-2026 01:08:20,-136.547688346139,-29.1145986128038,0,24,24,24,14,-29.1145986128038
01-Aug-2026 01:08:22,-133.963866131693,-26.5307763983581,0,23,23,23,15,-26.5307763983581
01-Aug-2026 01:08:24,-135.13047360659,-27.6973838732546,0,23,23,23,14,-27.6973838732546
01-Aug-2026 01:08:26,-135.313428976305,-27.8803392429701,0,22,22,22,13,-27.8803392429701
01-Aug-2026 01:08:28,-135.199457193817,-27.7663674604819,0,22,22,22,13,-27.7663674604819
01-Aug-2026 01:08:30,-140.965910209022,-33.532820475687,0,22,22,22,13,-33.532820475687
01-Aug-2026 01:08:32,-143.523716860992,-36.0906271276563,0,22,22,22,12,-36.0906271276563
01-Aug-2026 01:08:34,-144.497354741458,-37.0642650081228,0,22,22,22,12,-37.0642650081228
01-Aug-2026 01:08:36,-145.165141268469,-37.7320515351343,0,22,22,22,14,-37.7320515351343
01-Aug-2026 01:08:38,-145.208945869169,-37.7758561358343,0,22,22,22,15,-37.7758561358343
